perturbation_size,T10,T30,T50
0,0.6666666666666666,0.6666666666666666,0.6666666666666666
1,0.6666666666666666,0.6666666666666666,0.6666666666666666
2,0.6666666666666666,0.6666666666666666,0.6666666666666666
3,0.6666666666666666,0.6666666666666666,0.6666666666666666
4,0.6666666666666666,0.6666666666666666,0.6666666666666666
5,0.6666666666666666,0.6666666666666666,0.6666666666666666
6,0.0,0.6666666666666666,0.6666666666666666
7,0.0,0.6666666666666666,0.6666666666666666
8,0.0,0.6666666666666666,0.6666666666666666
9,0.0,0.6666666666666666,0.6666666666666666
10,0.0,0.6666666666666666,0.6666666666666666
11,0.0,0.6666666666666666,0.6666666666666666
12,0.0,0.6666666666666666,0.6666666666666666
13,0.0,0.6666666666666666,0.6666666666666666
14,0.0,0.6666666666666666,0.6666666666666666
15,0.0,0.6666666666666666,0.6666666666666666
16,0.0,0.0,0.6666666666666666
